evaluation_role,dataset,holdout,method,method_group,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,support_size,feature_dim,selected_configs,train_time_mean,inference_time_mean,parameter_count_mean,provenance_clean_rate
consistency,harder_holdout,holdout_bin_2,F3_residual_lr_selected,targeted_fusion_retry,main_42_46,5,0.46240719584569734,0.46470246086077244,0.6909585017073498,0.4094955489614243,0.3805637982195846,0.0,0.3805637982195846,0.3805637982195846,0.0013,0.0013,1.0,-3.3388087232441643,32,5,residual_C_1.0,0.021801139996387064,0.09891020000213757,6.0,1.0
consistency,harder_holdout,holdout_bin_2,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9989593471810089,0.9881967871935577,0.9653870241414788,0.9962908011869436,0.9428783382789317,0.0,0.9428783382789317,0.9428783382789317,0.0029,0.0029,1.0,2.556242965258015,32,2,beta_1.00,5.700000328943133e-05,0.10343224002281204,0.0,1.0
consistency,harder_holdout,holdout_bin_2,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.9989593471810089,0.9881967871935577,0.9653870241414788,0.9962908011869436,0.9428783382789317,0.0,0.9428783382789317,0.9428783382789317,0.0029,0.0029,1.0,2.556242965258015,32,2,beta_1.00,7.770000956952572e-05,0.10225834001321346,0.0,1.0
consistency,primary_lowood,primary_lowood,F0_V1_baseline,baseline,heldout_47_51,5,0.9925373090909092,0.9695076293611751,0.9378784833257197,0.9403636363636364,0.9294545454545455,0.0,0.9294545454545454,0.9294545454545454,0.0036,0.0036,1.0,-2.646479427395543,32,100,none,0.8529279400128871,0.031487559992820026,101.0,1.0
consistency,primary_lowood,primary_lowood,F0_V1_baseline,baseline,main_42_46,5,0.9925373090909092,0.9695076293611751,0.9378784833257197,0.9403636363636364,0.9294545454545455,0.0,0.9294545454545454,0.9294545454545454,0.0036,0.0036,1.0,-2.646479427395543,32,100,none,1.0080835399916395,0.03655723999254405,101.0,1.0
consistency,primary_lowood,primary_lowood,F1_V2_top64_baseline,baseline,heldout_47_51,5,0.9825818909090909,0.9706019839871669,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0,0.9476363636363636,0.9476363636363636,0.0037000000000000006,0.0037,1.0,-4.41641482616712,32,64,none,0.3195469199912623,0.020247779996134342,65.0,1.0
consistency,primary_lowood,primary_lowood,F1_V2_top64_baseline,baseline,main_42_46,5,0.9825818909090909,0.9706019839871669,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0,0.9476363636363636,0.9476363636363636,0.0037000000000000006,0.0037,1.0,-4.41641482616712,32,64,none,0.40804692000383513,0.023034759995061903,65.0,1.0
consistency,primary_lowood,primary_lowood,F2_linear_alpha_selected,targeted_fusion_retry,heldout_47_51,5,0.9839850181818182,0.97318109486268,0.971113750571037,0.9527272727272728,0.9483636363636364,0.0,0.9483636363636364,0.9483636363636364,0.0023,0.0023,1.0,1.8099947806145835,32,2,alpha_0.90,7.380000315606594e-05,0.09861143999733031,0.0,1.0
consistency,primary_lowood,primary_lowood,F2_linear_alpha_selected,targeted_fusion_retry,main_42_46,5,0.9851200436363637,0.9744858987045146,0.9719243490178163,0.9537454545454546,0.9486545454545455,0.0006504925025453531,0.9483636363636364,0.9498181818181818,0.00232,0.0024,1.0,1.752364049225148,32,2,alpha_0.50;alpha_0.90,8.100002305582166e-05,0.10778225996764376,0.0,1.0
consistency,primary_lowood,primary_lowood,F3_residual_lr_selected,targeted_fusion_retry,heldout_47_51,5,0.9925220363636365,0.977517211346474,0.9585893101873001,0.9512727272727272,0.949090909090909,0.0,0.9490909090909091,0.9490909090909091,0.0044,0.0044,1.0,-4.789807696014978,32,5,residual_C_1.0,0.02184479999123141,0.09535437999293209,6.0,1.0
consistency,primary_lowood,primary_lowood,F3_residual_lr_selected,targeted_fusion_retry,main_42_46,5,0.9925220363636365,0.977517211346474,0.9585893101873001,0.9512727272727272,0.949090909090909,0.0,0.9490909090909091,0.9490909090909091,0.0044,0.0044,1.0,-4.789807696014978,32,5,residual_C_1.0,0.025202640006318687,0.10968677998753265,6.0,1.0
consistency,primary_lowood,primary_lowood,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9921627345454546,0.9748241121451127,0.9609180447693012,0.9503999999999999,0.949090909090909,0.0,0.9490909090909091,0.9490909090909091,0.00506,0.0057,1.0,1.9129695528965076,32,2,beta_0.50;beta_1.00,5.059998948127031e-05,0.0996290400158614,0.0,1.0
consistency,primary_lowood,primary_lowood,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.9926482181818181,0.9743152707444349,0.9562656920968479,0.9501090909090909,0.949090909090909,0.0,0.9490909090909091,0.9490909090909091,0.00522,0.0057,1.0,1.9149419684737314,32,2,beta_0.50;beta_0.75;beta_1.00,5.299999611452222e-05,0.10798965999856591,0.0,1.0
